RT_Scan_ID,RT_Scan_Name,Scan_Date,Target_FQDN,Target_IPv4,Finding_UID,Vulnerability_Title,CVE_References,CVSS3_Score,Risk_Rating,Plugin_Group,Affected_Package,Installed_Version,Exploit_Available,Patch_Available,First_Detected,Last_Scanned,Notes
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-ldap-01,10.10.6.10,F-10024,OpenSSL Infinite Loop Denial of Service,CVE-2022-0778,7.5,HIGH,Cryptographic Libraries,openssl,1.1.1k,N,Y,2022-03-15,2026-05-31,LDAP server certificate parsing affected.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-ldap-01,10.10.6.10,F-10025,glibc Buffer Overflow (Looney Tunables),CVE-2023-4911,7.8,HIGH,System Libraries,glibc,2.35,Y,Y,2023-10-03,2026-05-31,GLIBC_TUNABLES environment variable buffer overflow allows local privilege escalation to root.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-k8s-master-01,10.10.5.10,F-10026,Linux Netfilter Use-After-Free,CVE-2023-32233,7.8,HIGH,Operating System Kernel,linux-kernel,5.15.0-88-generic,Y,Y,2023-05-08,2026-05-31,Anonymous sets in nf_tables allow privilege escalation via use-after-free exploit.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-k8s-worker-01,10.10.5.11,F-10027,Linux Kernel Dirty Pipe Local Privilege Escalation,CVE-2022-0847,7.8,HIGH,Operating System Kernel,linux-kernel,5.15.0-88-generic,Y,Y,2022-03-07,2026-05-31,Kubernetes worker node affected; container escape risk.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-k8s-worker-01,10.10.5.11,F-10028,glibc Buffer Overflow (Looney Tunables),CVE-2023-4911,7.8,HIGH,System Libraries,glibc,2.35,Y,Y,2023-10-03,2026-05-31,Container escape possible via GLIBC_TUNABLES manipulation.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-k8s-worker-02,10.10.5.12,F-10029,Linux Kernel Dirty Pipe Local Privilege Escalation,CVE-2022-0847,7.8,HIGH,Operating System Kernel,linux-kernel,5.15.0-88-generic,Y,Y,2022-03-07,2026-05-31,Second Kubernetes worker; same kernel version.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-api-gw-01,10.10.1.20,F-10030,F5 BIG-IP iControl REST Authentication Bypass,CVE-2022-1388,9.8,CRITICAL,Network Appliances / Load Balancer,BIG-IP iControl REST,16.1.2,Y,Y,2022-05-04,2026-05-31,iControl REST API accepts requests without valid authentication token. CISA KEV listed. Patch to 16.1.2.2+ immediately.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,sharepoint-01,10.10.4.20,F-10031,Windows Print Spooler Remote Code Execution (PrintNightmare),CVE-2021-34527,8.8,HIGH,Windows Services,Windows Print Spooler,Windows Server 2019,Y,Y,2021-07-01,2026-05-31,Remote attackers with low-privilege credentials can install arbitrary print drivers via RPC. CISA KEV listed.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,sharepoint-01,10.10.4.20,F-10032,Microsoft CryptoAPI Spoofing,CVE-2020-0601,8.1,HIGH,Windows Services,CryptoAPI (crypt32.dll),Windows Server 2019,Y,Y,2020-01-14,2026-05-31,Flaw in certificate chain validation using Elliptic Curve cryptography; enables spoofed code-signing certificates.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,ci-runner-01,10.10.10.20,F-10033,VMware vCenter Server Arbitrary File Upload,CVE-2021-22005,9.8,CRITICAL,Virtualisation / CI-CD,VMware vCenter Server,7.0 U2c,Y,Y,2021-09-21,2026-05-31,Unauthenticated file upload to analytics service allows RCE. CISA KEV listed.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,dev-srv-01,10.10.20.10,F-10034,Atlassian Confluence Server OGNL Injection,CVE-2022-26134,9.8,CRITICAL,Collaboration / Wiki,Atlassian Confluence,7.13.4,Y,Y,2022-06-02,2026-05-31,OGNL injection via HTTP request allows unauthenticated RCE. CISA KEV listed.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,dev-srv-01,10.10.20.10,F-10035,Sudo Heap-Based Buffer Overflow (Baron Samedit),CVE-2021-3156,7.8,HIGH,OS / Package Management,sudo,1.8.27,Y,Y,2021-01-26,2026-05-31,Dev server running older sudo version.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,dev-srv-01,10.10.20.10,F-10036,Linux pkexec Local Privilege Escalation (PwnKit),CVE-2021-4034,7.8,HIGH,OS / Package Management,polkit,0.105-26,Y,Y,2022-01-25,2026-05-31,Memory corruption in pkexec allows any local user to escalate to root. Affects polkit since 2009.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,dev-srv-02,10.10.20.11,F-10037,Atlassian Confluence Server OGNL Injection,CVE-2021-26084,9.8,CRITICAL,Collaboration / Wiki,Atlassian Confluence,7.12.5,Y,Y,2021-08-25,2026-05-31,Different Confluence OGNL variant on second dev server.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,staging-web-01,10.10.30.10,F-10038,Apache HTTP Server Path Traversal and RCE,CVE-2021-41773,7.5,HIGH,Web Servers,Apache HTTP Server,2.4.49,Y,Y,2021-10-05,2026-05-31,Path traversal allows RCE if mod_cgi enabled. CISA KEV listed. Upgrade to 2.4.51+.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,workstation-fin-01,10.10.50.10,F-10039,Microsoft Office Remote Code Execution via MSHTML,CVE-2023-36884,8.8,HIGH,Desktop Productivity,Microsoft Office,2019 v16.0.16731,Y,Y,2023-07-11,2026-05-31,RCE via crafted Office document without opening Mark-of-the-Web file. CISA KEV listed.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,workstation-fin-01,10.10.50.10,F-10040,Windows Backup Service Privilege Escalation,CVE-2023-21752,7.1,HIGH,Windows Services,Windows Backup Service,Windows 10 22H2,N,Y,2023-01-10,2026-05-31,Local attacker can delete files and escalate privileges via Windows Backup operator group.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,workstation-fin-02,10.10.50.11,F-10041,Microsoft Office Remote Code Execution via MSHTML,CVE-2023-36884,8.8,HIGH,Desktop Productivity,Microsoft Office,2019 v16.0.16731,Y,Y,2023-07-11,2026-05-31,Same Office RCE on second Finance workstation.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,workstation-fin-02,10.10.50.11,F-10042,Microsoft Follina MSDT Remote Code Execution,CVE-2022-30190,7.8,HIGH,Desktop Productivity,Microsoft Office (MSDT),2019 v16.0.14326,Y,Y,2022-05-30,2026-05-31,Calling MSDT from Word document allows RCE without macros. CISA KEV listed.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-elk-01,10.10.7.10,F-10043,Elasticsearch Unauthenticated Access,CVE-2021-22145,5.9,MEDIUM,Log Management / SIEM,Elasticsearch,7.13.3,N,Y,2021-09-01,2026-05-31,Sensitive data exposure via thread context search in multi-tenancy environments.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-api-01,10.10.2.10,F-10044,OpenSSL Use-After-Free in BIO_new_NDEF,CVE-2023-0215,7.5,HIGH,Cryptographic Libraries,openssl,1.1.1t,N,Y,2023-02-07,2026-05-31,UAF triggered by streaming ASN.1 data through BIO_new_NDEF; potential memory disclosure.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,jenkins-01,10.10.10.21,F-10045,Jenkins Remote Code Execution via Groovy,CVE-2019-1003000,9.8,CRITICAL,CI-CD / Build Tools,Jenkins,2.289.3 LTS,Y,Y,2019-01-08,2026-05-31,Sandbox bypass via specially crafted CPS-transformed pipeline scripts. Old finding — verify patch status before closing.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-web-01,10.10.1.10,F-10046,TLS 64-bit Block Cipher Collision Attack (SWEET32),CVE-2016-2183,3.7,LOW,Cryptographic Libraries,openssl,1.1.1t,N,Y,2016-08-24,2026-05-31,Birthday attack on 3DES/Blowfish in long-lived TLS sessions. Disable 3DES cipher suites in nginx config.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-web-02,10.10.1.11,F-10047,TLS 64-bit Block Cipher Collision Attack (SWEET32),CVE-2016-2183,3.7,LOW,Cryptographic Libraries,openssl,1.1.1t,N,Y,2016-08-24,2026-05-31,Same SWEET32 finding on web-02; cipher suite audit recommended.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,mail-srv-01,10.10.4.10,F-10048,RC4 Cipher Suites Enabled (Bar Mitzvah),CVE-2013-2566,2.6,INFO,TLS / SSL Configuration,RC4 Cipher Suites,Exchange TLS Config,N,Y,2013-03-15,2026-05-31,RC4 stream cipher is cryptographically broken; disable in TLS configuration. Low exploitability in modern environments.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-ldap-01,10.10.6.10,F-10049,SSLv3 POODLE Padding Oracle Attack,CVE-2014-3566,3.4,LOW,TLS / SSL Configuration,SSLv3,OpenSSL 1.1.1k,N,Y,2014-10-14,2026-05-31,SSLv3 protocol vulnerable to POODLE; disable SSLv3 entirely. Verify SSLv3 is not enabled in ldap.conf.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-api-gw-01,10.10.1.20,F-10050,Diffie-Hellman Key Exchange Insufficient Bit Length (Logjam),CVE-2015-4000,3.7,LOW,TLS / SSL Configuration,OpenSSL DHE,1.1.1,N,Y,2015-05-20,2026-05-31,DHE parameters below 1024 bits allow downgrade to export-grade ciphers. Generate 2048-bit DH params.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-db-primary-01,10.10.3.10,F-10051,OpenSSL AES-XTS Input Length Validation,CVE-2023-1255,5.9,MEDIUM,Cryptographic Libraries,openssl,3.0.7,N,Y,2023-04-20,2026-05-31,Input validation flaw in AES-XTS implementation on x86_64 with AES-NI; may cause application crash.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-web-01,10.10.1.10,F-10052,OpenSSL Cipher Selection Inconsistency,CVE-2023-5363,7.5,HIGH,Cryptographic Libraries,openssl,3.1.3,N,Y,2023-10-24,2026-05-31,Incorrect cipher selection when key/IV lengths mismatch; may expose plaintext in certain configs.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,workstation-dev-01,10.10.51.10,F-10053,Linux mac80211 Stack Buffer Overflow,CVE-2022-42722,5.5,MEDIUM,Wireless Drivers,linux-kernel (mac80211),5.15.0-76-generic,N,Y,2022-10-13,2026-05-31,Beacon protection frame handling overflow in mac80211 WiFi subsystem. Local DoS risk.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-ldap-01,10.10.6.10,F-10054,OpenSSL SM2 Decryption Buffer Overflow,CVE-2021-3711,9.8,CRITICAL,Cryptographic Libraries,openssl,1.1.1k,Y,Y,2021-08-24,2026-05-31,Incorrect SM2 key size calculation causes one-byte heap overflow; may allow arbitrary code execution.
RTSCAN-2026-001,ODDO BHF Production Q2 2026,2026-05-31,prod-api-gw-01,10.10.1.20,F-10055,OpenSSL Excessive Time in DH Key Computation (DoS),CVE-2023-3817,5.3,MEDIUM,Cryptographic Libraries,openssl,3.1.1,N,Y,2023-07-31,2026-05-31,Large DHE key parameters can cause extremely long computation time leading to service DoS.
