hostname,ip_address,business_unit,business_owner,criticality,internet_exposed,environment,os_version,site,owning_team
k8s-node-02,10.0.5.11,DevOps,Youssef Amrani,high,false,production,Ubuntu 22.04 LTS,AWS-eu-west-1,CloudOps
k8s-node-03,10.0.5.12,DevOps,Youssef Amrani,high,false,production,Ubuntu 22.04 LTS,AWS-eu-west-1,CloudOps
k8s-master-01,10.0.5.5,DevOps,Youssef Amrani,critical,false,production,Ubuntu 22.04 LTS,AWS-eu-west-1,CloudOps
ci-runner-01,10.2.5.10,DevOps,Lucas Dupont,low,false,dev,Ubuntu 22.04 LTS,Office-Tunis,DevOps
ci-runner-02,10.2.5.11,DevOps,Lucas Dupont,low,false,dev,Ubuntu 22.04 LTS,Office-Tunis,DevOps
mon-prod-01,10.0.6.10,IT,Marc Lefebvre,high,false,production,RHEL 9,DC-Paris,SysAdmin
log-prod-01,10.0.6.20,Security,Isabelle Leclerc,high,false,production,RHEL 9,DC-Paris,NetSec
backup-prod-01,10.0.7.10,IT,Sophie Martin,high,false,production,Windows Server 2019,DC-Lyon,SysAdmin
nas-prod-01,10.0.7.20,IT,Marc Lefebvre,critical,false,production,FreeBSD 14,DC-Paris,SysAdmin
vm-dev-01,172.16.10.10,DevOps,Youssef Amrani,low,false,dev,Debian 12,Office-Tunis,DevOps
vm-test-01,172.16.20.10,IT,Lucas Dupont,low,false,test,Ubuntu 20.04 LTS,AWS-eu-west-1,DevOps
vm-test-02,172.16.20.11,IT,Lucas Dupont,low,false,test,Windows Server 2019,AWS-eu-west-1,DevOps
vm-staging-01,172.16.30.10,IT,Sophie Martin,medium,false,staging,Ubuntu 22.04 LTS,DC-Lyon,WebOps
vm-staging-02,172.16.30.11,Finance,Karim Bouaziz,medium,false,staging,RHEL 8,DC-Lyon,DBA
api-prod-01,10.0.3.50,IT,Sophie Martin,high,true,production,Ubuntu 22.04 LTS,AWS-eu-west-1,WebOps
api-prod-02,10.0.3.51,IT,Sophie Martin,high,true,production,Ubuntu 22.04 LTS,AWS-eu-west-1,WebOps
cdn-edge-01,10.0.8.10,IT,Marc Lefebvre,high,true,production,Ubuntu 20.04 LTS,AWS-eu-west-1,WebOps
siem-prod-01,10.0.9.10,Security,Isabelle Leclerc,critical,false,production,AlmaLinux 9,DC-Paris,NetSec
jump-prod-01,10.0.0.20,Security,Isabelle Leclerc,critical,true,production,RHEL 9,DC-Paris,NetSec
